Although this program will describe the degrees of freedom in the 
problem, it will do so using the typedef for the elements. This is 
not neccesarily human readable, but there is a solution.
Pipe your program's output through c++filt, with the argument -t.
e.g. "./two_d_multi_poisson | c++filt -t > ReadableOutput.txt".
 (Disregarding the quotes)


Classifying Global Equation Numbers
--------------------------------------------------------------------------------
Eqn: 203 | Value 0 of Node 37 in Problem's Only Mesh.
Eqn: 204 | Value 1 of Node 37 in Problem's Only Mesh.
Eqn: 205 | Value 2 of Node 37 in Problem's Only Mesh.
Eqn: 206 | Value 3 of Node 37 in Problem's Only Mesh.
Eqn: 207 | Value 4 of Node 37 in Problem's Only Mesh.
Eqn: 208 | Value 5 of Node 37 in Problem's Only Mesh.
Eqn: 209 | Value 0 of Node 38 in Problem's Only Mesh.
Eqn: 210 | Value 1 of Node 38 in Problem's Only Mesh.
Eqn: 211 | Value 2 of Node 38 in Problem's Only Mesh.
Eqn: 212 | Value 3 of Node 38 in Problem's Only Mesh.
Eqn: 213 | Value 0 of Node 39 in Problem's Only Mesh.
Eqn: 214 | Value 1 of Node 39 in Problem's Only Mesh.
Eqn: 215 | Value 2 of Node 39 in Problem's Only Mesh.
Eqn: 216 | Value 3 of Node 39 in Problem's Only Mesh.
Eqn: 217 | Value 0 of Node 40 in Problem's Only Mesh.
Eqn: 218 | Value 1 of Node 40 in Problem's Only Mesh.
Eqn: 219 | Value 2 of Node 40 in Problem's Only Mesh.
Eqn: 220 | Value 3 of Node 40 in Problem's Only Mesh.
Eqn: 221 | Value 4 of Node 40 in Problem's Only Mesh.
Eqn: 222 | Value 0 of Node 41 in Problem's Only Mesh.
Eqn: 223 | Value 1 of Node 41 in Problem's Only Mesh.
Eqn: 224 | Value 2 of Node 41 in Problem's Only Mesh.
Eqn: 225 | Value 3 of Node 41 in Problem's Only Mesh.
Eqn: 226 | Value 0 of Node 42 in Problem's Only Mesh.
Eqn: 227 | Value 1 of Node 42 in Problem's Only Mesh.
Eqn: 228 | Value 2 of Node 42 in Problem's Only Mesh.
Eqn: 229 | Value 3 of Node 42 in Problem's Only Mesh.
Eqn: 230 | Value 0 of Node 43 in Problem's Only Mesh.
Eqn: 231 | Value 1 of Node 43 in Problem's Only Mesh.
Eqn: 232 | Value 2 of Node 43 in Problem's Only Mesh.
Eqn: 233 | Value 3 of Node 43 in Problem's Only Mesh.
Eqn: 234 | Value 0 of Node 44 in Problem's Only Mesh.
Eqn: 235 | Value 1 of Node 44 in Problem's Only Mesh.
Eqn: 236 | Value 2 of Node 44 in Problem's Only Mesh.
Eqn: 237 | Value 3 of Node 44 in Problem's Only Mesh.
Eqn: 238 | Value 0 of Node 45 in Problem's Only Mesh.
Eqn: 239 | Value 1 of Node 45 in Problem's Only Mesh.
Eqn: 240 | Value 2 of Node 45 in Problem's Only Mesh.
Eqn: 241 | Value 3 of Node 45 in Problem's Only Mesh.
Eqn: 242 | Value 4 of Node 45 in Problem's Only Mesh.
Eqn: 243 | Value 0 of Node 46 in Problem's Only Mesh.
Eqn: 244 | Value 1 of Node 46 in Problem's Only Mesh.
Eqn: 245 | Value 2 of Node 46 in Problem's Only Mesh.
Eqn: 246 | Value 3 of Node 46 in Problem's Only Mesh.
Eqn: 247 | Value 0 of Node 47 in Problem's Only Mesh.
Eqn: 248 | Value 1 of Node 47 in Problem's Only Mesh.
Eqn: 249 | Value 2 of Node 47 in Problem's Only Mesh.
Eqn: 250 | Value 3 of Node 47 in Problem's Only Mesh.
Eqn: 251 | Value 0 of Node 48 in Problem's Only Mesh.
Eqn: 252 | Value 1 of Node 48 in Problem's Only Mesh.
Eqn: 253 | Value 2 of Node 48 in Problem's Only Mesh.
Eqn: 254 | Value 3 of Node 48 in Problem's Only Mesh.
Eqn: 255 | Value 0 of Node 49 in Problem's Only Mesh.
Eqn: 256 | Value 1 of Node 49 in Problem's Only Mesh.
Eqn: 257 | Value 2 of Node 49 in Problem's Only Mesh.
Eqn: 258 | Value 3 of Node 49 in Problem's Only Mesh.
Eqn: 259 | Value 4 of Node 49 in Problem's Only Mesh.
Eqn: 260 | Value 5 of Node 49 in Problem's Only Mesh.
Eqn: 261 | Value 0 of Node 50 in Problem's Only Mesh.
Eqn: 262 | Value 1 of Node 50 in Problem's Only Mesh.
Eqn: 263 | Value 2 of Node 50 in Problem's Only Mesh.
Eqn: 264 | Value 3 of Node 50 in Problem's Only Mesh.
Eqn: 265 | Value 0 of Node 51 in Problem's Only Mesh.
Eqn: 266 | Value 1 of Node 51 in Problem's Only Mesh.
Eqn: 267 | Value 2 of Node 51 in Problem's Only Mesh.
